frame	subF	slot	rnti	firstSym	numSym	type	tddMode	retxNum	ccId
7	3	3	0	13	1	2	2	0	0
7	4	0	0	13	1	2	2	0	0
7	4	1	0	13	1	2	2	0	0
7	4	2	0	13	1	2	2	0	0
7	4	3	0	13	1	2	2	0	0
7	5	0	0	13	1	2	2	0	0
7	5	1	0	13	1	2	2	0	0
7	5	2	0	13	1	2	2	0	0
7	5	3	0	13	1	2	2	0	0
7	6	0	0	13	1	2	2	0	0
7	6	1	0	13	1	2	2	0	0
7	6	2	0	13	1	2	2	0	0
7	6	3	0	13	1	2	2	0	0
7	7	0	0	13	1	2	2	0	0
7	7	1	0	13	1	2	2	0	0
7	7	2	0	13	1	2	2	0	0
7	7	3	0	13	1	2	2	0	0
7	8	0	0	13	1	2	2	0	0
7	8	1	0	13	1	2	2	0	0
7	8	2	0	13	1	2	2	0	0
7	8	3	0	13	1	2	2	0	0
7	9	0	0	13	1	2	2	0	0
7	9	1	0	13	1	2	2	0	0
7	9	2	0	13	1	2	2	0	0
7	9	3	0	13	1	2	2	0	0
8	0	0	0	13	1	2	2	0	0
8	0	1	0	13	1	2	2	0	0
8	0	2	0	13	1	2	2	0	0
8	0	3	0	13	1	2	2	0	0
8	1	0	0	13	1	2	2	0	0
8	1	1	0	13	1	2	2	0	0
8	1	2	0	13	1	2	2	0	0
8	1	3	0	13	1	2	2	0	0
8	2	0	0	13	1	2	2	0	0
8	2	1	0	13	1	2	2	0	0
8	2	2	0	13	1	2	2	0	0
8	2	3	0	13	1	2	2	0	0
8	3	0	0	13	1	2	2	0	0
8	3	1	0	13	1	2	2	0	0
8	3	2	0	13	1	2	2	0	0
8	3	3	0	13	1	2	2	0	0
8	4	0	0	13	1	2	2	0	0
8	4	1	0	13	1	2	2	0	0
8	4	2	0	13	1	2	2	0	0
8	4	3	0	13	1	2	2	0	0
8	5	0	0	13	1	2	2	0	0
8	5	1	0	13	1	2	2	0	0
8	5	2	0	13	1	2	2	0	0
8	5	3	0	13	1	2	2	0	0
8	6	0	0	13	1	2	2	0	0
8	6	1	0	13	1	2	2	0	0
8	6	2	0	13	1	2	2	0	0
8	6	3	0	13	1	2	2	0	0
8	7	0	0	13	1	2	2	0	0
8	7	1	0	13	1	2	2	0	0
8	7	2	0	13	1	2	2	0	0
8	7	3	0	13	1	2	2	0	0
8	8	0	0	13	1	2	2	0	0
8	8	1	0	13	1	2	2	0	0
8	8	2	0	13	1	2	2	0	0
8	8	3	0	13	1	2	2	0	0
8	9	0	0	13	1	2	2	0	0
8	9	1	0	13	1	2	2	0	0
8	9	2	0	13	1	2	2	0	0
8	9	3	0	13	1	2	2	0	0
9	0	0	0	13	1	2	2	0	0
9	0	1	0	13	1	2	2	0	0
9	0	2	0	13	1	2	2	0	0
9	0	3	0	13	1	2	2	0	0
9	1	0	0	13	1	2	2	0	0
9	1	1	0	13	1	2	2	0	0
9	1	2	0	13	1	2	2	0	0
9	1	3	0	13	1	2	2	0	0
9	2	0	0	13	1	2	2	0	0
9	2	1	0	13	1	2	2	0	0
9	2	2	0	13	1	2	2	0	0
9	2	3	0	13	1	2	2	0	0
9	3	0	0	13	1	2	2	0	0
9	3	1	0	13	1	2	2	0	0
9	3	2	0	13	1	2	2	0	0
9	3	3	0	13	1	2	2	0	0
9	4	0	0	13	1	2	2	0	0
9	4	1	0	13	1	2	2	0	0
9	4	2	0	13	1	2	2	0	0
9	4	3	0	13	1	2	2	0	0
9	5	0	0	13	1	2	2	0	0
9	5	1	0	13	1	2	2	0	0
9	5	2	0	13	1	2	2	0	0
9	5	3	0	13	1	2	2	0	0
9	6	0	0	13	1	2	2	0	0
9	6	1	0	13	1	2	2	0	0
9	6	2	0	13	1	2	2	0	0
9	6	3	0	13	1	2	2	0	0
9	7	0	0	13	1	2	2	0	0
9	7	1	0	13	1	2	2	0	0
9	7	2	0	13	1	2	2	0	0
9	7	3	0	13	1	2	2	0	0
9	8	0	0	13	1	2	2	0	0
9	8	1	0	13	1	2	2	0	0
9	8	2	0	13	1	2	2	0	0
9	8	3	0	13	1	2	2	0	0
9	9	0	0	13	1	2	2	0	0
9	9	1	0	13	1	2	2	0	0
9	9	2	0	13	1	2	2	0	0
9	9	3	0	13	1	2	2	0	0
10	0	0	0	13	1	2	2	0	0
10	0	1	0	13	1	2	2	0	0
10	0	2	0	13	1	2	2	0	0
10	0	3	1	1	12	0	2	0	0
10	0	3	0	13	1	2	2	0	0
10	1	0	1	1	12	0	2	0	0
10	1	0	0	13	1	2	2	0	0
10	1	1	1	1	12	0	2	0	0
10	1	1	0	13	1	2	2	0	0
10	1	2	1	1	12	0	2	0	0
10	1	2	0	13	1	2	2	0	0
10	1	3	1	2	11	0	2	0	0
10	1	3	0	13	1	2	2	0	0
10	2	0	1	1	12	0	2	0	0
10	2	0	0	13	1	2	2	0	0
10	2	1	1	1	12	0	2	0	0
10	2	1	0	13	1	2	2	0	0
10	2	2	1	1	12	0	2	0	0
10	2	2	0	13	1	2	2	0	0
10	2	3	1	1	12	0	2	0	0
10	2	3	0	13	1	2	2	0	0
10	3	0	1	1	12	0	2	0	0
10	3	0	0	13	1	2	2	0	0
10	3	1	1	1	12	0	2	0	0
10	3	1	0	13	1	2	2	0	0
10	3	2	1	1	12	0	2	0	0
10	3	2	0	13	1	2	2	0	0
10	3	3	1	1	12	0	2	0	0
10	3	3	0	13	1	2	2	0	0
10	4	0	1	1	12	0	2	0	0
10	4	0	0	13	1	2	2	0	0
10	4	1	1	1	12	0	2	0	0
10	4	1	0	13	1	2	2	0	0
10	4	2	1	1	12	0	2	0	0
10	4	2	0	13	1	2	2	0	0
10	4	3	1	1	12	0	2	0	0
10	4	3	0	13	1	2	2	0	0
10	5	0	1	1	12	0	2	0	0
10	5	0	0	13	1	2	2	0	0
10	5	1	1	1	12	0	2	0	0
10	5	1	0	13	1	2	2	0	0
10	5	2	1	1	12	0	2	0	0
10	5	2	0	13	1	2	2	0	0
10	5	3	1	1	12	0	2	0	0
10	5	3	0	13	1	2	2	0	0
10	6	0	1	1	12	0	2	0	0
10	6	0	0	13	1	2	2	0	0
10	6	1	1	1	12	0	2	0	0
10	6	1	0	13	1	2	2	0	0
10	6	2	1	1	12	0	2	0	0
10	6	2	0	13	1	2	2	0	0
10	6	3	1	1	12	0	2	0	0
10	6	3	0	13	1	2	2	0	0
10	7	0	1	1	12	0	2	0	0
10	7	0	0	13	1	2	2	0	0
10	7	1	1	1	4	0	2	0	0
10	7	1	0	13	1	2	2	0	0
10	7	2	0	13	1	2	2	0	0
10	7	3	0	13	1	2	2	0	0
10	8	0	0	13	1	2	2	0	0
10	8	1	0	13	1	2	2	0	0
10	8	2	0	13	1	2	2	0	0
10	8	3	0	13	1	2	2	0	0
10	9	0	0	13	1	2	2	0	0
10	9	1	0	13	1	2	2	0	0
10	9	2	0	13	1	2	2	0	0
10	9	3	0	13	1	2	2	0	0
11	0	0	0	13	1	2	2	0	0
11	0	1	0	13	1	2	2	0	0
11	0	2	0	13	1	2	2	0	0
11	0	3	0	13	1	2	2	0	0
11	1	0	0	13	1	2	2	0	0
11	1	1	0	13	1	2	2	0	0
11	1	2	0	13	1	2	2	0	0
11	1	3	0	13	1	2	2	0	0
11	2	0	0	13	1	2	2	0	0
11	2	1	0	13	1	2	2	0	0
11	2	2	0	13	1	2	2	0	0
11	2	3	0	13	1	2	2	0	0
11	3	0	0	13	1	2	2	0	0
11	3	1	1	1	12	0	2	0	0
11	3	1	0	13	1	2	2	0	0
11	3	2	1	1	12	0	2	0	0
11	3	2	0	13	1	2	2	0	0
11	3	3	1	1	12	0	2	0	0
11	3	3	0	13	1	2	2	0	0
11	4	0	1	1	12	0	2	0	0
11	4	0	0	13	1	2	2	0	0
11	4	1	1	1	12	0	2	0	0
11	4	1	0	13	1	2	2	0	0
11	4	2	1	1	12	0	2	0	0
11	4	2	0	13	1	2	2	0	0
11	4	3	1	1	12	0	2	0	0
11	4	3	0	13	1	2	2	0	0
11	5	0	1	1	12	0	2	0	0
11	5	0	0	13	1	2	2	0	0
11	5	1	1	1	12	0	2	0	0
11	5	1	0	13	1	2	2	0	0
11	5	2	1	1	12	0	2	0	0
11	5	2	0	13	1	2	2	0	0
11	5	3	1	1	12	0	2	0	0
11	5	3	0	13	1	2	2	0	0
11	6	0	1	1	8	0	2	0	0
11	6	0	0	13	1	2	2	0	0
11	6	1	0	13	1	2	2	0	0
11	6	2	0	13	1	2	2	0	0
11	6	3	0	13	1	2	2	0	0
11	7	0	0	13	1	2	2	0	0
11	7	1	0	13	1	2	2	0	0
11	7	2	0	13	1	2	2	0	0
11	7	3	0	13	1	2	2	0	0
11	8	0	0	13	1	2	2	0	0
